1515.700000,3.0070E-008,1515.700000,3.0070E-008,1515.700000,3.0070E-008
1515.750000,1.4650E-008,1515.750000,1.4650E-008,1515.750000,1.4650E-008
1515.800000,1.0970E-008,1515.800000,1.0970E-008,1515.800000,1.0970E-008
1515.850000,5.1980E-008,1515.850000,5.1980E-008,1515.850000,5.1980E-008
1515.900000,4.9430E-008,1515.900000,4.9430E-008,1515.900000,4.9430E-008
1515.950000,3.6440E-008,1515.950000,3.6440E-008,1515.950000,3.6440E-008
1516.000000,-1.8340E-008,1516.000000,-1.8340E-008,1516.000000,-1.8340E-008
1516.050000,-5.2670E-009,1516.050000,-5.2670E-009,1516.050000,-5.2670E-009
1516.100000,8.3170E-008,1516.100000,8.3170E-008,1516.100000,8.3170E-008
1516.150000,3.2690E-009,1516.150000,3.2690E-009,1516.150000,3.2690E-009
1516.200000,2.4970E-008,1516.200000,2.4970E-008,1516.200000,2.4970E-008
1516.250000,-2.8040E-008,1516.250000,-2.8040E-008,1516.250000,-2.8040E-008
1516.300000,2.0220E-008,1516.300000,2.0220E-008,1516.300000,2.0220E-008
1516.350000,2.0100E-009,1516.350000,2.0100E-009,1516.350000,2.0100E-009
1516.400000,-2.6350E-008,1516.400000,-2.6350E-008,1516.400000,-2.6350E-008
1516.450000,1.9850E-008,1516.450000,1.9850E-008,1516.450000,1.9850E-008
1516.500000,-2.8900E-008,1516.500000,-2.8900E-008,1516.500000,-2.8900E-008
1516.550000,4.0090E-008,1516.550000,4.0090E-008,1516.550000,4.0090E-008
1516.600000,-5.4800E-008,1516.600000,-5.4800E-008,1516.600000,-5.4800E-008
1516.650000,8.4790E-009,1516.650000,8.4790E-009,1516.650000,8.4790E-009
1516.700000,-1.4680E-008,1516.700000,-1.4680E-008,1516.700000,-1.4680E-008
1516.750000,-1.2180E-008,1516.750000,-1.2180E-008,1516.750000,-1.2180E-008
1516.800000,-6.2410E-009,1516.800000,-6.2410E-009,1516.800000,-6.2410E-009
1516.850000,2.9760E-008,1516.850000,2.9760E-008,1516.850000,2.9760E-008
1516.900000,1.9320E-008,1516.900000,1.9320E-008,1516.900000,1.9320E-008
1516.950000,-3.5400E-008,1516.950000,-3.5400E-008,1516.950000,-3.5400E-008
1517.000000,6.3810E-008,1517.000000,6.3810E-008,1517.000000,6.3810E-008
1517.050000,1.4120E-008,1517.050000,1.4120E-008,1517.050000,1.4120E-008
1517.100000,3.9790E-008,1517.100000,3.9790E-008,1517.100000,3.9790E-008
1517.150000,7.2760E-009,1517.150000,7.2760E-009,1517.150000,7.2760E-009
1517.200000,-1.0940E-008,1517.200000,-1.0940E-008,1517.200000,-1.0940E-008
1517.250000,3.2160E-008,1517.250000,3.2160E-008,1517.250000,3.2160E-008
