Theta1,Theta2,Theta3,Ancho_espectral,Potencia,Clases
20,36,0,10.11943261,0.012239,1
24,36,0,10.77645888,0.0122525,1
28,36,0,10.08873045,0.01228975,0
32,36,0,9.775568394,0.01229175,0
36,36,0,10.35890947,0.012315,0
40,36,0,9.793989691,0.012302,0
44,36,0,9.523810665,0.01233025,0
48,36,0,9.364159422,0.0123075,0
52,36,0,9.965921798,0.0122865,0
56,36,0,9.922938771,0.0122735,0
60,36,0,9.849253582,0.01228375,0
64,36,0,9.315035963,0.0122985,0
68,36,0,9.413282881,0.0122625,0
72,36,0,9.830832285,0.012252,0
76,36,0,9.20450818,0.01227675,0
80,36,0,9.370299855,0.012309,0
84,36,0,9.247491206,0.01231225,0
88,36,0,9.081699531,0.01232075,0
92,36,0,9.100120829,0.01234075,0
96,36,0,9.069418667,0.012341,0
100,36,0,9.20450818,0.01236375,0
104,36,0,9.063278234,0.012315,0
108,36,0,9.167665585,0.01228875,0
112,36,0,9.284333801,0.01228675,0
116,36,0,9.585214989,0.0122685,0
120,36,0,9.622057583,0.0122615,0
124,36,0,9.677321475,0.012283,0
128,36,0,9.972062231,0.01226825,0
132,36,0,10.01504526,0.01226725,0
136,36,0,10.10101131,0.01225825,0
140,36,0,9.990483528,0.01227525,0
144,36,0,10.00276439,0.01226725,0
148,36,0,9.990483528,0.0122855,0
152,36,0,9.941360069,0.01228475,0
156,36,0,9.763287529,0.0122875,0
160,36,0,9.812410988,0.01228875,0
164,36,0,9.66504061,0.01229375,0
168,36,0,9.517670232,0.01229725,0
172,36,0,9.855394015,0.0123285,0
176,36,0,9.916798339,0.012306,0
180,36,0,9.922938771,0.01231525,0
184,36,0,9.351878557,0.012303,0
